ls	O
ter	O
Vergaderinge	O
gelesen	O
de	O
Requeste	O
van	O
Herman	B-PER
Vos	I-PER
,	I-PER
Agent	I-PER
en	I-PER
Solliciteur	I-PER
Militain	I-PER
alhier	I-PER
in	I-PER
den	I-PER
Hage	I-PER
,	I-PER
houdende	O
,	O
dat	O
hy	O
Suppliant	O
door	O
den	O
Heere	B-PER
Marck-Grave	I-PER
van	I-PER
Brandenburgh-Anspach	I-PER
,	O
in	O
conformité	O
van	O
sijne	O
Furstelijcke	O
Doorluchtigheyte	O
Acte	O
,	O
copielijck	O
nevens	O
de	O
voorschreve	O
Requeste	O
gevoegt	O
,	O
tot	O
des	O
selfs	O
Agent	O
alhier	O
was	O
aengestelt	O
geworden	O
,	O
versoeckende	O
,	O
dat	O
haer	O
Hoogh	O
Mogende	O
hem	O
Suppliant	O
in	O
gemelde	O
qualiteyt	O
geliefden	O
te	O
erkennen	O
,	O
ende	O
hem	O
daer	O
van	O
der	O
selver	O
Resolutie	O
te	O
verleenen	O
,	O
soo	O
als	O
aen	O
des	O
selts	O
Predecesseur	O
op	O
den	O
tweeden	O
Junii	O
seventien	O
hondert	O
acht	O
mede	O
geschiedt	O
was	O
.	O
Waer	O
'	O
op	O
gedelibereert	O
zijnde	O
,	O
hebben	O
de	O
Heeren	O
Gedeputeerden	O
van	O
de	O
Provincie	O
van	O
Hollandt	O
ende	O
West	O
-	O
Vrieslandt	O
de	O
voorschreve	O
Requeste	O
copielijck	O
overgenomen	O
om	O
in	O
den	O
haren	O
breder	O
gecommuniceert	O
te	O
werden	O
.	O
