La	O
reqte	O
d'andrin	O
dandrelecht	O
,	O
est	O
commnicque	O
a	O
ceulx	O
de	O
la	O
chambre	O
des	O
aydes	O
pour	O
leur	O
aduis	O
sy	O
rc.	O
est	O
appoincté	O
,	O
les	O
Eistatz	O
generaulx	O
es	O
cripueront	O
laes	O
de	O
faueur	O
addressantes	O
au	O
Magistrat	O
de	O
Tournay	O
,	O
affiz	O
d'administrear	O
bonne	O
et	O
briefue	O
Justice	O
surce	O
que	O
ce	O
Supplt	O
requiert	O
selon	O
que	O
en	O
equité	O
et	O
raisoz	O
et	O
en	O
conformité	O
de	O
la	O
paciffication	O
de	O
Gand	O
comme	O
Ilz	O
trouueront	O
convenir	O
.	O
