ONtfangen	O
een	O
Mifsive	O
van	O
Scoeepenen	B-HOE
der	I-HOE
Stad	I-HOE
'	I-HOE
s	I-HOE
Hertogenbosch	I-HOE
,	O
geschreven	O
aldaar	O
den	O
tweeden	O
deeser	O
loopende	O
maand	O
,	O
houdende	O
,	O
in	O
gevolge	O
,	O
en	O
tot	O
voldoeninge	O
van	O
haar	O
Hoogh	O
Mogende	O
Resolutie	O
van	O
den	O
aghtienden	O
der	O
voorleede	O
maand	O
,	O
der	O
sclver	O
Beright	O
op	O
de	O
Requeste	O
van	O
Reinhart	O
Burchart	O
,	O
Burgergraave	B-HOE
van	I-HOE
Rechteren	I-HOE
,	I-HOE
Hoogh	I-HOE
-	I-HOE
en	I-HOE
Laaghschout	I-HOE
der	I-HOE
Stad	I-HOE
en	I-HOE
Meyerye	I-HOE
van	I-HOE
'	I-HOE
s	I-HOE
Hertogenbosch	I-HOE
,	O
raaKende	O
de	O
functie	O
van	O
den	O
Clercq	O
of	O
Secretaris	O
van	O
het	O
Hooghofficic	O
,	O
en	O
in	O
hoe	O
verre	O
deselue	O
bevoeght	O
is	O
de	O
pen	O
te	O
voeren	O
in	O
het	O
neemen	O
van	O
informatien	O
,	O
het	O
hooren	O
ende	O
confronteeren	O
van	O
Getuygen	O
in	O
zaacken	O
soo	O
wel	O
civil	O
als	O
crimineel	O
het	O
voorschreeve	O
Hoogofficie	O
aangaande	O
.	O
En	O
is	O
daar	O
neevens	O
geleesen	O
de	O
Requeste	O
van	O
Mr	O
.	O
Johan	O
Cornelis	O
Santvoort	O
,	O
Griffier	B-HOE
der	I-HOE
voorschreeve	I-HOE
Stad	I-HOE
'	I-HOE
s	I-HOE
Hertogenbosch	I-HOE
;	O
houdende	O
,	O
in	O
gevolge	O
,	O
en	O
tot	O
voldoeninge	O
van	O
haar	O
Hoogh	O
Mogende	O
Resolutie	O
van	O
den	O
achtienden	O
der	O
voorleede	O
maand	O
desselfs	O
belangh	O
op	O
de	O
voorgemelde	O
Requeste	O
.	O
WAAR	O
op	O
gedelibereert	O
zynde	O
,	O
is	O
goedgevonden	O
en	O
verstaan	O
,	O
dat	O
Copie	O
van	O
de	O
voorschreeve	O
Missive	O
van	O
Scheepenen	B-HOE
der	I-HOE
Stad	I-HOE
'	I-HOE
s	I-HOE
Hertogenbosch	I-HOE
,	O
met	O
de	O
voorschreeve	O
Requeste	O
van	O
Mr	O
.	O
Johan	O
Cornelis	O
Santvoort	O
,	O
als	O
meede	O
de	O
Requeste	O
van	O
den	O
Grave	B-HOE
van	I-HOE
Rechteren	I-HOE
,	O
het	O
voorschreeve	O
subject	O
concerneerende	O
,	O
gesteld	O
sal	O
werden	O
in	O
handen	O
van	O
de	O
Heeren	O
Torek	O
,	O
en	O
andere	O
haar	O
Hoogh	O
Mogende	O
Gedeputeerden	O
tot	O
de	O
zaacken	O
van	O
de	O
Meyerye	O
van	O
'	O
s	O
Hertogenbosch	O
,	O
om	O
te	O
visiteeren	O
,	O
examineeren	O
,	O
en	O
van	O
alles	O
alhier	O
ter	O
Vergaderinge	O
rapport	O
te	O
doen	O
.	O
