Is	O
gelesen	O
de	O
Memorie	O
Ingestelt	O
byden	O
Quartiermre	O
Mortaigne	O
,	O
volgende	O
d'ordre	O
ende	O
last	O
van	O
haere	O
Ho	O
:	O
Mo	O
:	O
van	O
tgene	O
geschiet	O
is	O
int	O
Schip	O
van	O
Adriaen	O
Thol	O
opde	O
Rioiere	O
van	O
Bordeaulx	O
In	O
„	O
hebbende	O
den	O
heere	O
Ambassadeur	O
van	O
Grootfurst	O
van	O
Moscouien	O
ende	O
desselffs	O
suicte	O
,	O
Ende	O
den	O
Greffier	O
belast	O
deselue	O
Memorie	O
te	O
senden	O
aen	O
het	O
Collegie	O
ter	O
Admiraliteyt	O
binnen	O
Rotterdam	O
ten	O
Eynde	O
zy	O
opt	O
Inhouden	O
van	O
dier	O
nemen	O
exacte	O
Informatie	O
ende	O
den	O
fiscael	O
van	O
haerluyder	O
Collegie	O
belast	O
het	O
Recht	O
vande	O
Hooge	O
Ouericheyt	O
tegen	O
de	O
Culpable	O
te	O
bewaren	O
ten	O
fyne	O
als	O
haer	O
voor	O
desen	O
is	O
aengescreuen	O
.	O
